id;profession;createdAt;updatedAt
789;волнировщик асбесто-цементных листов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
790;волочильщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
791;волочильщик материала для спиралей;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
792;волочильщик проволоки;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
793;волочильщик труб;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
794;волочильщик тугоплавких металлов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
795;волочильщик цветных металлов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
796;воронильщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
797;вставщик деталей, изделий и фурнитуры;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
798;вставщик камер;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
799;вулканизаторщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
800;вулканизаторщик кабельных изделий;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
801;вулканизаторщик кругов на вулканитовой связке;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
802;вулканизаторщик печатных форм;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
803;выбивальщик мягкой тары;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
804;выбивальщик отливок;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
805;выбивщик блоков мипоры;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
806;выбивщик изделий из гипсовых форм;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
807;выбивщик рафинадных голов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
808;выбивщик титановой губки;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
809;выборщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
810;выборщик камней;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
811;выборщик металлического натрия;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
812;выборщик солодкового корня;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
813;выборщик фарфоровых, фаянсовых и керамических изделий;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
814;выборщик-сортировщик огнеупорного лома;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
815;выборщик-укладчик камня;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
816;выгребальщик костры;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
817;выгребальщик очеса;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
818;выгребальщик пуха и отходов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
819;выгружальщик хлопка;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
820;выгрузчик блоков полимера;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
821;выгрузчик горячего агломерата;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
822;выгрузчик извести из печей;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
823;выгрузчик мышьяка;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
824;выгрузчик на отвалах;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
825;выгрузчик огнеупорных материалов из печей;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
826;выгрузчик пыли;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
827;выгрузчик стекла из контейнера;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
828;выгрузчик шахтных печей;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
829;выдувальщик стеклоизделий;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
830;выемщик варочных камер;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
831;выжигальщик по дереву;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
832;выжигальщик рисунков;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
833;вызывальщик локомотивных и поездных бригад;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
834;выливщик-заливщик металла;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
835;выпарщик капо-корня;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
836;выпарщик соли;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
837;выпарщик щелоков;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
838;выравнивальщик кожанных деталей;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
839;выравнивальщик толщины деталей и полуфабрикатов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
840;вырезальщик фестонов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
841;вырубщик деталей;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
842;вырубщик заготовок и изделий;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
843;вырубщик пороков металла;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
844;выставщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
845;выстилальщик кожевенно-мехового сырья и голья;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
846;вытягивальщик ремней;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
847;вышивальщик по коже и меху;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
848;вышивальщица;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
849;вышивальщица текстильно-галантерейных изделий;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
850;вышкомонтажник;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
851;вышкомонтажник-плотник;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
852;вышкомонтажник-сварщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
853;вышкомонтажник-слесарь;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
854;вышкомонтажник-электромонтер;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
855;вязальщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
856;вязальщик польстерных щеток;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
857;вязальщик прутков и проволоки;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
858;вязальщик схемных жгутов, кабелей и шнуров;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
859;вязальщица текстильно-галантерейных изделий;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
860;вязальщица трикотажных изделий, полотна;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
861;газовщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
862;газовщик шахтной печи;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
863;газогенераторщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
864;газомерщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
865;газонокосильщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
866;газооператор;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
867;газорезчик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
868;газосварщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
869;газоспасатель;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
870;галтовщик деталей часов и камней;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
871;галтовщик игольно-платинных изделий;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
872;галтовщик радиодеталей;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
873;гальваник;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
874;гальванотипист;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
875;гардеробщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
876;гарнировщик музыкальных инструментов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
877;гарнитурщик химического прядения;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
878;гасильщик извести;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
879;гелиотропист;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
880;генераторщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
881;генераторщик ацетиленовой установки;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
882;герметизаторщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
883;гибщик труб;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
884;гибщик фибры;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
885;гидрогенизаторщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
886;гидромониторщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
887;гидромонтажник;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
888;гидропескоструйщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
889;гидротермист;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
890;гидроциклонщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
891;гидрочистильщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
892;гильошир;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
893;гильоширщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
894;гипсомодельщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
895;гладильщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
896;глазировщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
897;глазировщик мороженного и сырков;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
898;глазуровщик изделий строительной керамики;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
899;глазуровщик фарфоровых и фаянсовых изделий;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
900;глазуровщик электрокерамических изделий;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
901;глянцовщик карамели и драже;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
902;гнутарь по дереву;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
903;голлендорщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
904;гончар;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
905;горничная;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
906;горновой десульфурации чугуна;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
907;горновой на агломерации и обжиге;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
908;горновой ферросплавных печей;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
909;горновой шахтной печи;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
910;горномонтажник подземный;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
911;горнорабочий;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
912;горнорабочий (рабочий) на подготовительных работах;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
913;горнорабочий (рабочий) по табельному учету;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
914;горнорабочий на геологических работах;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
915;горнорабочий на маркшейдерских работах;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
916;горнорабочий на поверхностных работах;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
917;горнорабочий очистного забоя;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
918;горнорабочий по восстановлению промышленных земель и дезактивации недр;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
919;горнорабочий по доставке материалов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
920;горнорабочий по доставке продуктивных растворов из подземных горных выработок;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
921;горнорабочий по предупреждению и тушению пожаров;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
922;горнорабочий по ремонту горных выработок;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
923;горнорабочий подземный;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
924;горнорабочий разреза;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
925;горнорабочий рассыпных месторождений;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
926;горнорабочий у экскаваторов, отвальных мостов и отвалообразователей;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
927;гофрировщик винипласта;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
928;гофрировщик меховых камер;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
929;гофрировщик трубок;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
930;гравер (на станках);2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
931;гравер в литейном производстве;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
932;гравер в текстильном производстве;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
933;гравер валов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
934;гравер оригиналов топографических карт;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
935;гравер печатных форм;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
936;гравер стекла;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
937;гравер шрифта;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
938;градуировщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
939;градуировщик оптических деталей;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
940;градуировщик радиоаппаратуры;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
941;гранулировщик в производстве медикаментов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
942;гранулировщик в производстве стекла и стеклоизделий;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
943;грануляторщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
944;гратосъемщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
945;графитировщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
946;графитировщик асбестовых технических изделий;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
947;гример-пастижер;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
948;грохотовщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
949;грохотовщик-шуровщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
950;грузчик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
951;грузчик по погрузке цемента;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
952;грузчик-сдельщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
953;грузчик-экспедитор;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
954;грунтовальщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
955;грунтовщик асбестоцементных и асбестосилитовых изделий;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
956;грунтовщик холста и картона художественных полотен;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
957;грунтовщик художественных изделий из дерева;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
958;грунтовщик щелочных изделий;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
959;гуммировщик металлоизделий;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
960;давильщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
961;дверевой;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
962;дворник;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
963;девулканизаторщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
964;дегоржер;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
965;дегустатор;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
966;дежурный зала игральных автоматов, аттракционов и тиров;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
967;дежурный камеры хранения;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
968;дежурный механик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
969;дежурный по переезду;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
970;дежурный по переправе;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
971;дежурный по эскалатору;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
972;дежурный раздевального помещения;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
973;дежурный раздевального отделения;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
974;дежурный стрелочного поста;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
975;дежурный у эскалатора;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
976;дежурный электромонтер;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
977;дежурный электрослесарь подземный;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
978;дезактиваторщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
979;дезинфектор;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
980;дезодораторщик сои;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
981;декатировщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
982;декоратор;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
983;декоратор витрин;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
984;делильщик кружев;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
985;демонстратор одежды;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
986;демонстратор пластических поз;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
987;демонстратор причесок;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
988;денатураторщик спирта;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
989;дефектовщик авиационной техники;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
990;дефектоскопист;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
991;дефектоскопист по газовому и жидкостному контролю;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
992;дефектоскопист по магнитному контролю;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
993;дефектоскопист по ультразвуковому контролю;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
994;дефектоскопист рентгено-гамма-графирования;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
995;дефибрерщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
996;дефростатчик молочных продуктов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
997;дистиллировщик ртути;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
998;дистилляторщик ртути;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
999;диффузорщик целлюлозы;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1000;дневальный;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1001;доводчик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1002;доводчик алмазосодержащих концентратов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1003;доводчик деталей;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1004;доводчик угольных шайб;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1005;доводчик-притирщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1006;дозиметрист;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1007;дозировщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1008;дозировщик асбеста;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1009;дозировщик волокна и пленки;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1010;дозировщик горячего возврата;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1011;дозировщик дробленного камня и битума;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1012;дозировщик керамических материалов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1013;дозировщик компонентов бетонных смесей;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1014;дозировщик медицинских препаратов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1015;дозировщик минерализатора;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1016;дозировщик пищевой продукции;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1017;дозировщик реагентов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1018;дозировщик ртути;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1019;дозировщик сырья;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1020;дозировщик-смесительщик на шнеках;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1021;долбежник;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1022;долотозаправщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1023;дорожно-путевой рабочий;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1024;дорожный рабочий;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1025;доставщик взрывчатых материалов в шахту;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1026;доставщик крепежных материалов в шахту;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1027;доставщик поездных документов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1028;дояр;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1029;драгер;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1030;дражировщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1031;древопар;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1032;дренажист по добыче мирабилита;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1033;дренажник;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1034;дробильщик (на дробильных агрегатах, установках, копрах);2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1035;дробильщик алмазов и сверхтвердых материалов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1036;дробильщик в горном производстве;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1037;дробильщик в производстве цемента;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1038;дробильщик в химическом производстве;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1039;дробильщик извести;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1040;дробильщик колчедана;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1041;дробильщик компонентов обмазки;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1042;дробильщик пластмасс;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1043;дробильщик слюды;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1044;дробильщик теплоизоляционного сырья;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1045;дробильщик целлюлозы;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1046;дробильщик шлифзерна, шлифпорошков и шихтовых материалов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1047;дробильщик электроугольного производства;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1048;дробильщик-размольщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1049;дрожжевод;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1050;дублировщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1051;дублировщик деталей и материалов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1052;дублировщик листового материала;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1053;егерь;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1054;жаровщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1055;жестянщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1056;живописец;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1057;животновод;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1058;животновод по уходу за рабочими животными;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1059;жиловщик мяса и субпродуктов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1060;жировальщик кож;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1061;жокей;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1062;забойщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1063;забойщик на отбойных молотках;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1064;заборщик фарфоровых, фаянсовых и керамических изделий;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1065;завальцовщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1066;завальцовщик радиодеталей;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1067;завальщик шихты в вагранки и печи;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1068;заварщик;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1069;заварщик изоляторов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1070;заварщик на высокочастотном индукторе;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1071;заварщик отливок;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1072;заварщик пасты;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1073;заварщик полупроводниковых приборов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1074;заварщик труб и баллонов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1075;заварщик электровакуумных приборов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1076;завивальщик спиралей;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1077;заготовитель блоков по ботанике;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1078;заготовитель блоков по гистологии, цитологии, эмбриологии;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1079;заготовитель геологических образцов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
1080;заготовитель продуктов и сырья;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
