id;profession;createdAt;updatedAt
63;аппаратчик вакуум-сушильной установки;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
64;аппаратчик вакуум-термической печи;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
65;аппаратчик валки изделий;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
66;аппаратчик варки;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
67;аппаратчик варки утфеля;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
68;аппаратчик витаминизации жира;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
69;аппаратчик водно-химической обработки;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
70;аппаратчик возгонки;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
71;аппаратчик воздухоразделения;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
72;аппаратчик восстановления;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
73;аппаратчик восстановления молока;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
74;аппаратчик восстановления полупроводниковых материалов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
75;аппаратчик вспенивания пенопластов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
76;аппаратчик вспенивания полистирола;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
77;аппаратчик вулканизации;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
78;аппаратчик выделения ацетофенола;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
79;аппаратчик выделения карбинола;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
80;аппаратчик выделения псевдобутилена;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
81;аппаратчик выделения серы;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
82;аппаратчик выделения фтористого бора;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
83;аппаратчик выпаривания;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
84;аппаратчик выпаривания и гранулирования;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
85;аппаратчик выпарных аппаратов для получения жидкого продукта;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
